data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation
133,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_4
134,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_5
135,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_6
136,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_7
137,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_8
138,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_9
139,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_10
140,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_11
141,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_12
142,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_13
143,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_14
144,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_15
