,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap mean_overlap_AUC,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_7_HLCA_140,0.8946784390012996,0.8874025402610057,0.9068282045071114,0.9356077736374522,0.8916591645699622,0.9068282045071114,0.9068282045071114
spapros_1_HLCA_141,0.7111998991477482,0.3447302721423693,0.0154544199031638,0.1228767259995657,0.3671041893797641,0.0154544199031638,0.0154544199031638
spapros_0_HLCA_141,0.8055505640367641,0.6283895439961991,0.0200315589944722,0.6973942908967619,0.5819351067439238,0.0200315589944722,0.0200315589944722
spapros_2_HLCA_141,0.8455888110886033,0.763601070415669,0.0320956160498769,0.7655716225153739,0.6496240795380791,0.0320956160498769,0.0320956160498769
spapros_3_HLCA_141,0.8582796367567109,0.8003780143570893,0.057074781069663,0.8234774727641527,0.7276957611926165,0.057074781069663,0.057074781069663
spapros_4_HLCA_141,0.8765864912112202,0.8505337295137892,0.1421849427087266,0.8640104184253984,0.8139250733484851,0.1421849427087266,0.1421849427087266
spapros_5_HLCA_141,0.881779804404518,0.8734506243348783,0.2886220015914962,0.8921909992124054,0.8528496681107338,0.2886220015914962,0.2886220015914962
spapros_6_HLCA_141,0.8890940700309262,0.8771951508333793,0.5252203007041796,0.9270066871842508,0.8826734010736021,0.5252203007041796,0.5252203007041796
spapros_10_HLCA_141,0.8940753251535645,0.8935837978918628,0.6961729294000248,0.9291452486003255,0.8881812514129006,0.6961729294000248,0.6961729294000248
spapros_11_HLCA_141,0.8951600852369921,0.8936394784130611,0.8009805665734345,0.9383981228448572,0.8956293987163939,0.8009805665734345,0.8009805665734345
spapros_7_HLCA_141,0.8956373425352461,0.8967464038185047,0.8810583709054798,0.938360354722506,0.8935084171872347,0.8810583709054798,0.8810583709054798
spapros_1_HLCA_142,0.6507850256889224,0.3135322540593406,0.0140284404017627,0.1722767538026461,0.3438594045738584,0.0140284404017627,0.0140284404017627
spapros_0_HLCA_142,0.7557996312254125,0.485809990744218,0.0152724529956326,0.4902822759808094,0.5293660140780282,0.0152724529956326,0.0152724529956326
spapros_2_HLCA_142,0.7977320973987387,0.6046364510979169,0.0208833836611013,0.7255952020074635,0.6304077201172766,0.0208833836611013,0.0208833836611013
spapros_3_HLCA_142,0.8339777703435407,0.7208531277868603,0.0346544956769167,0.7630445524699708,0.6963140190057364,0.0346544956769167,0.0346544956769167
spapros_4_HLCA_142,0.8583743554131984,0.7994754217548528,0.0860213427957626,0.849886941804257,0.7948101710629327,0.0860213427957626,0.0860213427957626
spapros_5_HLCA_142,0.8698789633395065,0.8458973216366665,0.1969971156569877,0.8804411083089944,0.8459444324058328,0.1969971156569877,0.1969971156569877
spapros_6_HLCA_142,0.8764203272559941,0.8493805786075749,0.4238053748869939,0.9143613220508108,0.8790026873425637,0.4238053748869939,0.4238053748869939
spapros_10_HLCA_142,0.8803781875014727,0.8572357875337219,0.5775771297541806,0.9252884479789498,0.8835807746390533,0.5775771297541806,0.5775771297541806
spapros_11_HLCA_142,0.8841323827163939,0.8618984862972403,0.6838966753077836,0.9308565488045656,0.8914169772611483,0.6838966753077836,0.6838966753077836
spapros_7_HLCA_142,0.8906548337386934,0.8789708056463464,0.7601978301031462,0.9341207017159678,0.8954652470731052,0.7601978301031462,0.7601978301031462
pseudo_9_HLCA_132,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_133,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_134,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_135,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
pseudo_9_HLCA_136,0.8981271722172529,0.8915506784417115,1.0,0.937447339229776,0.894113997763359,1.0,1.0
